other-lang,english,lang-family,code
ሀ,heh,h,0
ሁ,hoo,h,1
ሂ,hee,h,2
ሃ,hah,h,3
ሄ,hay,h,4
ህ,hih,h,5
ሆ,hoh,h,6
ለ,leh,l,7
ሉ,loo,l,8
ሊ,lee,l,9
ላ,lah,l,10
ሌ,lay,l,11
ል,lih,l,12
ሎ,loh,l,13
ሐ,hhah,hh,14
ሑ,hhoo,hh,15
ሒ,hhee,hh,16
ሓ,hhah,hh,17
ሔ,hhay,hh,18
ሕ,hhih,hh,19
ሖ,hhoh,hh,20
መ,meh,m,21
ሙ,moo,m,22
ሚ,mee,m,23
ማ,mah,m,24
ሜ,may,m,25
ም,mih,m,26
ሞ,moh,m,27
ሠ,sseh,ss,28
ሡ,ssoo,ss,29
ሢ,ssee,ss,30
ሣ,ssah,ss,31
ሤ,ssay,ss,32
ሥ,ssih,ss,33
ሦ,ssoh,ss,34
ረ,reh,r,35
ሩ,roo,r,36
ሪ,ree,r,37
ራ,rah,r,38
ሬ,ray,r,39
ር,rih,r,40
ሮ,roh,r,41
ሰ,seh,s,42
ሱ,soo,s,43
ሲ,see,s,44
ሳ,sah,s,45
ሴ,say,s,46
ስ,sih,s,47
ሶ,soh,s,48
ሸ,sheh,sh,49
ሹ,shoo,sh,50
ሺ,shee,sh,51
ሻ,shah,sh,52
ሼ,shay,sh,53
ሽ,shih,sh,54
ሾ,shoh,sh,55
ቀ,qeh,q,56
ቁ,qoo,q,57
ቂ,qee,q,58
ቃ,qah,q,59
ቄ,qay,q,60
ቅ,qih,q,61
ቆ,qoh,q,62
ቐ,qqeh,qq,63
ቑ,qqoo,qq,64
ቒ,qqee,qq,65
ቓ,qqah,qq,66
ቔ,qqay,qq,67
ቕ,qqih,qq,68
ቖ,qqoh,qq,69
በ,beh,b,70
ቡ,boo,b,71
ቢ,bee,b,72
ባ,bah,b,73
ቤ,bay,b,74
ብ,bih,b,75
ቦ,boh,b,76
ተ,teh,t,77
ቱ,too,t,78
ቲ,tee,t,79
ታ,tah,t,80
ቴ,tay,t,81
ት,tih,t,82
ቶ,toh,t,83
ቸ,cheh,ch,84
ቹ,choo,ch,85
ቺ,chee,ch,86
ቻ,chah,ch,87
ቼ,chay,ch,88
ች,chih,ch,89
ቾ,choh,ch,90
ኀ,hhheh,hhh,91
ኁ,hhhoo,hhh,92
ኂ,hhhee,hhh,93
ኃ,hhhah,hhh,94
ኄ,hhhay,hhh,95
