other-lang,english,lang-family,code
あ,ah,vowel,0
い,ee,vowel,1
う,oo,vowel,2
え,eh,vowel,3
お,oh,vowel,4
か,kah,k,5
き,kee,k,6
く,koo,k,7
け,keh,k,8
こ,koh,k,9
さ,sah,s,10
し,shi,s,11
す,soo,s,12
せ,seh,s,13
そ,soh,s,14
た,tah,t,15
ち,chi,t,16
つ,tsoo,t,17
て,teh,t,18
と,toh,t,19
な,nah,n,20
に,nee,n,21
ぬ,noo,n,22
ね,neh,n,23
の,noh,n,24
は,hah,h,25
ひ,hee,h,26
ふ,hoo,h,27
へ,heh,h,28
ほ,hoh,h,29
ま,mah,m,30
み,mee,m,31
む,moo,m,32
め,meh,m,33
も,moh,m,34
や,yah,y,35
ゆ,yoo,y,36
よ,yoh,y,37
ら,rah,r,38
り,ree,r,39
る,roo,r,40
れ,reh,r,41
ろ,roh,r,42
わ,wah,w,43
を,woh,w,44
ん,n,n,45
